iter	Passed	Remaining
784	2607	714
785	2611	710
786	2613	707
787	2615	703
788	2618	700
789	2620	696
790	2622	692
791	2626	689
792	2628	686
793	2630	682
794	2633	678
795	2635	675
796	2637	671
797	2640	668
798	2643	665
799	2645	661
800	2647	657
801	2650	654
802	2652	650
803	2655	647
804	2658	644
805	2660	640
806	2662	636
807	2665	633
808	2668	630
809	2672	626
810	2675	623
811	2678	620
812	2682	617
813	2686	613
814	2690	610
815	2692	607
816	2694	603
817	2697	600
818	2699	596
819	2701	593
820	2705	589
821	2707	586
822	2709	582
823	2711	579
824	2713	575
825	2716	572
826	2720	569
827	2722	565
828	2724	561
829	2726	558
830	2728	554
831	2730	551
832	2734	548
833	2737	544
834	2740	541
835	2742	538
836	2745	534
837	2747	531
838	2750	527
839	2752	524
840	2754	520
841	2757	517
842	2759	513
843	2762	510
844	2764	507
845	2766	503
846	2768	500
847	2772	496
848	2774	493
849	2776	490
850	2780	486
851	2782	483
852	2784	479
853	2787	476
854	2789	473
855	2791	469
856	2794	466
857	2796	462
858	2798	459
859	2800	455
860	2802	452
861	2804	449
862	2807	445
863	2809	442
864	2811	438
865	2813	435
866	2816	432
867	2818	428
868	2820	425
869	2824	422
870	2826	418
871	2828	415
872	2831	411
873	2833	408
874	2836	405
875	2840	402
876	2844	398
877	2860	397
878	2868	394
879	2871	391
880	2876	388
881	2881	385
882	2886	382
883	2891	379
884	2894	376
885	2897	372
886	2899	369
887	2902	366
888	2904	362
889	2906	359
890	2909	355
891	2911	352
892	2913	349
893	2916	345
894	2918	342
895	2921	339
896	2923	335
897	2925	332
898	2927	328
899	2930	325
900	2932	322
901	2935	318
902	2937	315
903	2940	312
904	2942	308
905	2944	305
906	2947	302
907	2950	298
908	2953	295
909	2955	292
910	2957	288
911	2960	285
912	2962	282
913	2965	279
914	2968	275
915	2970	272
916	2972	269
917	2975	265
918	2977	262
919	2979	259
920	2981	255
921	2984	252
922	2986	249
923	2989	245
924	2992	242
925	2994	239
926	2996	235
927	2998	232
928	3000	229
929	3002	226
930	3005	222
931	3007	219
932	3010	216
933	3012	212
934	3014	209
935	3016	206
936	3019	202
937	3021	199
938	3023	196
939	3025	193
940	3028	189
941	3030	186
942	3032	183
943	3034	180
944	3036	176
945	3039	173
946	3042	170
947	3044	166
948	3046	163
949	3048	160
950	3050	157
951	3053	153
952	3058	150
953	3062	147
954	3066	144
955	3070	141
956	3073	138
957	3075	134
958	3078	131
959	3081	128
960	3083	125
961	3085	121
962	3088	118
963	3090	115
964	3092	112
965	3095	108
966	3098	105
967	3100	102
968	3102	99
969	3104	96
970	3107	92
971	3109	89
972	3112	86
973	3114	83
974	3116	79
975	3118	76
976	3120	73
977	3123	70
978	3125	67
979	3128	63
980	3130	60
981	3132	57
982	3134	54
983	3136	51
984	3139	47
985	3141	44
986	3144	41
987	3146	38
988	3148	35
989	3150	31
990	3152	28
991	3155	25
992	3157	22
993	3159	19
994	3161	15
995	3163	12
996	3165	9
997	3168	6
998	3170	3
999	3172	0
