iter	Recall	Logloss
404	0.8238341969	0.4717744458
405	0.8238341969	0.4717163577
406	0.8230940044	0.4716612813
407	0.8230940044	0.4716239317
408	0.8230940044	0.4715740072
409	0.8238341969	0.4715333255
410	0.8238341969	0.4714978192
411	0.8238341969	0.4714512937
412	0.8238341969	0.4713931142
413	0.8238341969	0.4713440864
414	0.8238341969	0.4713125235
415	0.8238341969	0.4712624968
416	0.8238341969	0.4712288475
417	0.8238341969	0.4711793933
418	0.8238341969	0.4711144094
419	0.8238341969	0.4710856604
420	0.8238341969	0.4710473093
421	0.8238341969	0.4709877394
422	0.8238341969	0.4709187889
423	0.8230940044	0.470897513
424	0.8230940044	0.4708370147
425	0.8230940044	0.4707981727
426	0.8230940044	0.4707373093
427	0.8230940044	0.4706867029
428	0.8230940044	0.4706316503
429	0.8230940044	0.4705823612
430	0.8230940044	0.4705294305
431	0.8230940044	0.470471587
432	0.8230940044	0.4704124682
433	0.8230940044	0.4703519422
434	0.8230940044	0.4703058757
435	0.8230940044	0.4702852552
436	0.8230940044	0.4702366711
437	0.8230940044	0.470213136
438	0.8230940044	0.4701726161
439	0.8230940044	0.4701219168
440	0.8230940044	0.4700531901
441	0.8230940044	0.4699875336
442	0.8230940044	0.4699356141
443	0.8230940044	0.4699059453
444	0.8230940044	0.4698777597
445	0.8230940044	0.469820598
446	0.8238341969	0.4697832089
447	0.8230940044	0.4697266974
448	0.8230940044	0.4696932863
449	0.8230940044	0.4696427844
450	0.8230940044	0.4696349436
451	0.8230940044	0.4696291015
452	0.8230940044	0.4695856092
453	0.8230940044	0.4695441512
454	0.8230940044	0.4695165538
455	0.8230940044	0.4694746108
456	0.8230940044	0.4693951065
457	0.8230940044	0.4693420836
458	0.8230940044	0.4693227066
459	0.8230940044	0.4692786913
460	0.8238341969	0.469231656
461	0.8238341969	0.4691870206
462	0.8238341969	0.4691499412
463	0.8230940044	0.4690797338
464	0.8230940044	0.4690511776
465	0.8230940044	0.4690050115
466	0.8230940044	0.4689684178
467	0.8230940044	0.4689088612
468	0.8230940044	0.4689012217
469	0.8230940044	0.4688530423
470	0.8230940044	0.4688160859
471	0.8230940044	0.4687120181
472	0.8230940044	0.4686743967
473	0.8230940044	0.4686410556
474	0.8230940044	0.4686187798
475	0.8230940044	0.4685840245
476	0.8230940044	0.4685269882
477	0.8230940044	0.4684916789
478	0.8230940044	0.4684235882
479	0.8230940044	0.4683841387
480	0.8230940044	0.468327388
481	0.8230940044	0.4682392457
482	0.8238341969	0.4681854075
483	0.8238341969	0.4681544438
484	0.8238341969	0.4681107104
485	0.8245743893	0.4680820907
486	0.8245743893	0.468040975
487	0.8245743893	0.4679966853
488	0.8245743893	0.4679492195
489	0.8245743893	0.4679178344
490	0.8245743893	0.4678359762
491	0.8245743893	0.4677953317
492	0.8245743893	0.4677210516
493	0.8245743893	0.4676831219
494	0.8245743893	0.4676385858
495	0.8245743893	0.4675925069
496	0.8245743893	0.4675605551
497	0.8245743893	0.4675127696
498	0.8245743893	0.4674851212
499	0.8245743893	0.4674297277
500	0.8245743893	0.4673883936
501	0.8245743893	0.4673557073
502	0.8245743893	0.4673176759
503	0.8238341969	0.4672921886
504	0.8238341969	0.4672585424
505	0.8238341969	0.4672192813
506	0.8238341969	0.4671813175
507	0.8238341969	0.4670988736
508	0.8238341969	0.4670514739
509	0.8238341969	0.4670208549
510	0.8238341969	0.466985756
511	0.8238341969	0.4669442013
512	0.8230940044	0.4669188667
513	0.8230940044	0.4668904731
514	0.8230940044	0.4668603527
515	0.8230940044	0.466819357
516	0.8230940044	0.4667956123
517	0.8230940044	0.4667490732
518	0.8230940044	0.4666898852
519	0.8230940044	0.466647697
520	0.8230940044	0.4665994235
521	0.8238341969	0.466553499
522	0.8238341969	0.466523642
523	0.8238341969	0.4664998814
524	0.8238341969	0.466474996
525	0.8238341969	0.4664327076
526	0.8238341969	0.4663923171
527	0.8238341969	0.4663618587
528	0.8238341969	0.4662962912
529	0.8238341969	0.4662703137
530	0.8238341969	0.466237837
531	0.8238341969	0.4662060693
532	0.8238341969	0.4661557752
533	0.8238341969	0.4661341489
534	0.8238341969	0.4660965103
535	0.8238341969	0.4660413615
536	0.8238341969	0.4659923553
537	0.8238341969	0.4659517593
538	0.8238341969	0.4659117748
539	0.8238341969	0.465871893
540	0.8238341969	0.4658512918
541	0.8238341969	0.4658053729
542	0.8238341969	0.4657713089
543	0.8238341969	0.4657291377
544	0.8230940044	0.4656978254
545	0.8230940044	0.4656806921
546	0.8230940044	0.4656574521
547	0.8230940044	0.4656399834
548	0.8230940044	0.4656138662
549	0.8230940044	0.4655889111
550	0.8230940044	0.4655758929
551	0.8230940044	0.4655276014
552	0.8230940044	0.4654872252
